	code	eps_x	eps_yoy	bvps	roe_x	epcf	net_profits_x	profits_yoy	distrib	report_date	roe_y	net_profit_ratio	gross_profit_rate	net_profits_y	eps_y	business_income	bips	arturnover	arturndays	inventory_turnover	inventory_days	currentasset_turnover	currentasset_days	mbrg	nprg	nav	targ	epsg	seg	currentratio	quickratio	cashratio	icratio	sheqratio	adratio	cf_sales	rateofreturn	cf_nm	cf_liabilities	cashflowratio
2177	603368	1.28	15.32	NaN	5.87	NaN	19180.8	30.15	NaN	08-22	5.84	4.31	9.4718	191.808	1.0365	4442.7368	24.0079	1.343	134.0283	4.2797	42.059	0.7568	237.8436	20.6172	29.4553	9.6095	18.1016	15.3153	8.812	1.846	1.5349	29.9537	30832.9821	50.082	49.918	-0.1383	-0.092	-2.9975	-0.1843	-18.7692
2178	600220	0.02	-57.87	NaN	1.79	NaN	3528.62	-57.93	NaN	08-22	1.77	3.55	22.6699	35.2862	0.0197	993.033	0.5568	3.0745	58.5461	1.0931	164.6693	0.5199	346.2204	-2.732	-58.8599	4.7458	5.2061	-57.8723	5.5315	1.2459	0.8008	47.8594	178.6893	49.7845	50.2155	0.085	0.0189	2.0217	0.0376	5.4505
2179	600220	0.02	-57.87	NaN	1.79	NaN	3528.62	-57.93	NaN	08-22	1.77	3.55	22.6699	35.2862	0.0197	993.033	0.5568	3.0745	58.5461	1.0931	164.6693	0.5199	346.2204	-2.732	-58.8599	4.7458	5.2061	-57.8723	5.5315	1.2459	0.8008	47.8594	178.6893	49.7845	50.2155	0.085	0.0189	2.0217	0.0376	5.4505
2180	300036	0.06	114.81	NaN	1.6	NaN	2602.06	143.62	NaN	08-22	1.6	6.45	60.4537	26.0206	0.0578	403.2617	0.8969	1.0898	165.1679	18.2712	9.8516	0.3537	508.9059	69.5622	134.8072	7.8989	21.1666	114.8148	8.0234	2.4708	2.4419	61.378	5320.1698	73.2076	26.7924	-0.5	-0.0904	-8.2012	-0.3375	-46.8506
2181	300036	0.06	114.81	NaN	1.6	NaN	2602.06	143.62	NaN	08-22	1.6	6.45	60.4537	26.0206	0.0578	403.2617	0.8969	1.0898	165.1679	18.2712	9.8516	0.3537	508.9059	69.5622	134.8072	7.8989	21.1666	114.8148	8.0234	2.4708	2.4419	61.378	5320.1698	73.2076	26.7924	-0.5	-0.0904	-8.2012	-0.3375	-46.8506
2182	002612	0.14	41.35	NaN	2.18	NaN	5427.92	41.35	NaN	08-22	2.14	5.13	52.3527	54.2792	0.1356	1057.3296	2.6433	3.0368	59.2729	0.7878	228.4844	0.4532	397.1756	123.6725	14.5352	54.0392	93.9031	41.3542	9.2261	1.6276	1.264	17.2686	348.2064	66.4674	33.5326	0.0483	0.0095	1.1617	0.0284	3.0157
2183	002612	0.14	41.35	NaN	2.18	NaN	5427.92	41.35	NaN	08-22	2.14	5.13	52.3527	54.2792	0.1356	1057.3296	2.6433	3.0368	59.2729	0.7878	228.4844	0.4532	397.1756	123.6725	14.5352	54.0392	93.9031	41.3542	9.2261	1.6276	1.264	17.2686	348.2064	66.4674	33.5326	0.0483	0.0095	1.1617	0.0284	3.0157
2184	002002	0.21	84.07	NaN	12.51	NaN	50495.52	82.93	NaN	08-22	12.35	16.43	36.2226	504.9552	0.2086	3073.2477	1.2695	2.4743	72.7478	3.2484	55.4119	0.7513	239.5847	37.3957	78.8822	18.5069	6.9056	84.0669	18.801	0.651	0.5466	13.0597	495.4449	31.7117	68.2883	0.0119	0.0028	0.0731	0.0041	0.5621
2185	002002	0.21	84.07	NaN	12.51	NaN	50495.52	82.93	NaN	08-22	12.35	16.43	36.2226	504.9552	0.2086	3073.2477	1.2695	2.4743	72.7478	3.2484	55.4119	0.7513	239.5847	37.3957	78.8822	18.5069	6.9056	84.0669	18.801	0.651	0.5466	13.0597	495.4449	31.7117	68.2883	0.0119	0.0028	0.0731	0.0041	0.5621
2186	002323	0.16	57.4	NaN	13.32	NaN	11652.74	57.34	NaN	08-22	12.85	18.67	33.859	116.5274	0.1562	624.0265	0.8367	0.9007	199.8446	0.3725	483.2215	0.3107	579.337	34.102	57.2701	38.0043	69.993	57.4018	38.0247	1.5979	0.6834	3.0967	1130.0527	37.6333	62.3667	-0.5106	-0.1322	-2.7332	-0.212	-23.6648
2187	002323	0.16	57.4	NaN	13.32	NaN	11652.74	57.34	NaN	08-22	12.85	18.67	33.859	116.5274	0.1562	624.0265	0.8367	0.9007	199.8446	0.3725	483.2215	0.3107	579.337	34.102	57.2701	38.0043	69.993	57.4018	38.0247	1.5979	0.6834	3.0967	1130.0527	37.6333	62.3667	-0.5106	-0.1322	-2.7332	-0.212	-23.6648
